especie,org,long_total,long_estandar,long_cefalica,diam_ojo,long_hocico,long_mandibular,long_postorbital,long_pedunculo_caudal,Long_base_aleta_anal,dist_hocico_1a_aleta_dorsal,dist_hocico_2a_aleta_dorsal,dist_hocico_aleta_pelvica,long_base_aleta_pelvica,alt_máxima_cuerpo,alt_min_pedunculo_caudal,alt_aleta_anal,alt_aleta_pectoral,alt_1a_aleta_dorsal,alt_2a_aleta_dorsal
especie3,1,230,197,58,11,10,28,26,39,40,105,130,96,6,34,16,24,31,14,22
especie3,2,130,109,33,9,11,15,15,22,21,62,75,52,4,20,10,17,21,10,16
especie3,3,300,255,81,14,30,37,38,51,51,146,176,119,7,52,20,35,48,19,34
especie3,4,258,222,60,12,22,29,27,43,41,116,146,103,4,39,14,28,35,14,25
especie3,5,132,111,32,7,12,15,14,22,22,63,76,46,4,20,9,18,20,9,16
especie3,6,117,99,28,7,10,13,12,20,19,55,66,42,3,19,9,16,18,9,14
especie3,7,130,109,33,9,11,15,15,22,21,62,75,52,4,20,10,17,21,10,16
especie3,8,128,105,32,8,11,14,13,19,21,59,73,49,4,20,10,17,20,8,15
especie3,9,127,105,32,8,11,14,13,20,21,60,73,50,4,17,9,16,19,9,16
especie3,10,221,192,54,10,19,24,24,35,37,116,132,92,5,37,15,26,33,13,23
especie3,11,160,135,41,9,16,18,18,27,26,77,91,63,5,28,14,21,25,12,21
especie3,12,100,83,24,7,9,11,10,16,19,45,54,38,4,18,8,14,12,7,14
especie3,13,111,92,26,8,9,12,11,20,19,50,63,41,5,18,9,15,18,9,14
especie3,14,118,96,28,8,10,12,12,19,20,54,64,44,5,18,9,18,18,9,15
especie3,15,137,114,34,8,13,16,14,23,23,64,70,54,7,18,11,20,22,10,20
especie3,16,114,98,30,8,11,15,12,19,21,55,67,45,5,19,9,18,17,9,17
especie3,17,121,106,31,8,11,15,12,21,22,58,69,49,5,20,10,20,20,9,18
especie3,18,120,97,29,8,10,14,12,18,20,55,69,45,5,21,10,19,20,10,19
especie3,19,220,189,56,10,20,25,25,28,24,110,128,92,9,37,15,26,33,15,25
especie3,20,240,213,61,12,22,28,28,41,39,118,145,105,12,45,17,28,35,15,27
especie3,21,200,176,51,11,19,25,24,35,35,98,120,83,10,39,13,24,29,13,23
especie3,22,225,190,56,11,20,28,28,38,38,104,128,96,10,35,16,24,34,15,24
especie3,23,226,180,52,11,19,25,23,36,36,100,120,90,9,32,15,28,30,15,25
especie3,24,230,195,56,11,20,26,25,40,40,102,122,96,9,32,15,28,32,13,24
especie3,25,232,198,58,11,22,27,26,41,40,104,126,98,10,33,16,28,3,14,24
especie3,26,200,177,49,10,17,23,22,38,36,93,114,81,6,33,14,23,28,14,22
especie3,27,223,190,54,10,20,26,24,39,39,101,126,92,6,35,14,24,30,14,23
especie3,28,210,179,51,10,18,23,23,37,37,96,119,80,7,35,14,21,29,14,20
especie3,29,182,153,45,10,16,21,21,31,32,83,104,72,6,28,12,22,28,12,22
especie3,30,320,278,84,14,29,38,40,59,53,153,185,132,8,57,18,31,40,18,32
especie3,31,320,278,84,14,29,38,40,59,53,153,185,132,8,57,18,31,40,18,32
especie3,32,220,190,54,11,19,25,24,41,39,106,128,83,7,40,14,24,29,13,26
especie3,33,230,200,59,10,22,30,27,41,41,110,134,90,7,39,16,25,29,15,24
especie3,34,173,148,45,10,17,22,20,30,29,83,100,69,6,26,11,21,25,11,19
especie3,35,207,180,51,10,19,24,22,36,34,97,121,84,6,30,15,23,27,14,23
especie3,36,174,149,43,10,19,23,18,34,30,82,100,67,6,29,12,20,23,11,21
especie3,37,208,182,53,10,19,25,25,38,36,96,121,88,7,37,14,25,31,14,25
especie3,38,190,165,48,10,17,24,21,31,31,89,110,77,6,30,15,23,26,13,21
especie3,39,215,185,54,10,19,26,25,38,35,100,120,91,6,32,15,26,31,13,24
especie3,40,226,195,57,10,19,26,27,40,37,107,131,90,6,39,15,23,34,13,26
especie4,1,97,82,21,6,7,9,9,18,18,41,53,36,3,16,7,13,15,7,13
especie4,2,109,91,23,7,8,11,10,18,20,49,60,38,3,17,8,15,17,5,13
especie4,3,99,82,23,6,7,9,10,16,20,45,55,37,4,14,7,15,13,7,13
especie4,4,105,88,22,5,8,9,10,19,18,44,57,48,3,17,7,13,15,7,12
especie4,5,116,91,23,7,7,9,10,20,17,47,59,37,3,15,7,16,18,5,15
especie4,6,125,100,26,8,8,11,11,20,23,55,69,43,2,17,8,18,21,8,15
especie4,7,93,82,20,6,6,8,8,16,18,42,52,32,2,14,7,13,15,7,13
especie4,8,81,65,17,6,6,7,7,10,17,33,42,28,2,12,6,12,14,8,11
especie4,9,102,84,23,6,7,10,10,18,19,44,55,35,2,15,8,12,15,6,12
especie4,10,114,94,26,8,9,12,11,21,19,51,64,41,4,17,9,16,18,7,16
especie4,11,99,83,22,6,7,9,10,16,19,42,54,35,4,16,9,15,17,9,15
especie4,12,82,67,16,5,6,7,8,14,16,35,42,29,4,15,7,13,13,7,13
especie4,13,94,76,20,6,6,8,10,16,18,40,49,31,4,16,8,15,17,8,14
especie4,14,97,80,20,7,6,9,9,17,17,42,53,34,4,15,7,15,17,8,14
especie4,15,92,74,19,6,6,8,9,14,18,41,50,39,4,16,8,14,15,8,13
especie4,16,83,68,17,5,5,7,7,15,16,35,44,28,4,15,7,13,14,8,13
especie4,17,80,65,17,5,5,6,7,13,18,34,44,28,4,13,7,13,14,8,11
especie4,18,82,70,20,6,6,7,8,15,18,28,48,31,4,16,7,14,13,8,14
especie4,19,91,74,18,6,6,8,8,15,19,38,49,30,4,15,7,14,15,9,12
especie4,20,87,72,18,5,6,7,8,15,17,39,47,32,4,15,7,14,15,7,12
especie4,21,84,70,19,6,6,8,8,14,17,31,48,31,4,15,7,13,11,7,14
especie4,22,84,67,17,5,5,7,8,13,17,37,46,29,4,14,7,13,13,7,13
especie4,23,90,73,20,6,6,9,7,17,17,39,49,32,4,16,7,14,13,7,12
especie4,24,91,74,18,6,6,9,8,15,19,39,49,31,4,16,7,15,14,8,13
especie4,25,76,64,17,5,6,7,7,14,15,32,43,27,3,13,6,12,12,7,11
especie4,26,130,107,28,8,9,12,12,21,26,61,73,45,5,20,10,20,22,20,22
especie4,27,91,81,22,7,8,10,10,16,17,44,54,36,3,15,7,12,12,7,12
especie4,28,85,70,17,5,6,8,8,15,18,35,45,30,3,12,7,14,13,8,12
especie4,29,93,75,20,8,8,9,9,17,18,37,47,34,3,12,6,14,14,9,13
especie4,30,85,71,17,6,6,7,7,15,17,34,45,30,3,13,6,12,14,8,12
especie4,31,84,67,18,6,6,7,8,14,17,34,44,32,3,14,7,13,14,8,13
especie4,32,77,66,18,6,6,8,7,13,17,33,45,31,3,13,6,14,13,7,12
especie4,33,85,70,19,6,7,8,8,15,18,37,47,30,3,15,7,14,14,7,13
especie4,34,87,72,17,5,7,8,8,13,16,37,45,35,3,14,7,12,14,7,12
especie4,35,82,67,18,6,6,8,8,14,16,34,45,33,3,13,6,12,13,7,12
especie4,36,82,66,17,5,6,7,7,13,18,37,47,30,3,15,7,14,14,8,13
especie4,37,83,69,18,6,6,8,7,15,17,34,45,35,3,14,7,14,14,7,13
especie4,38,77,61,19,6,7,7,8,14,16,34,47,32,3,14,6,13,13,7,12
especie4,39,78,65,17,5,5,7,7,13,17,35,45,30,3,13,7,11,14,7,12
especie4,40,80,65,17,5,6,7,7,13,15,30,40,29,3,12,6,14,14,8,13
especie4,41,88,76,17,5,7,7,8,13,16,37,45,35,3,14,7,12,14,7,12
especie4,42,78,64,17,5,5,7,7,13,16,34,47,30,3,13,7,11,13,7,12
